Ref ID,Requirement Class,Normative (abridged),Source Citation,Plain Summary,Inheritance Type,Referenced From,Implementation Target,Status / Action,Test Placeholder
/req/core/root-op,Core,Server SHALL support HTTP GET at path /.,17-069r4 §7.2,Landing page GET at `/`.,Inherited,CS-1 §7; CS-2 §8,src/ogc-api/endpoint.ts,Verify,spec/ogc-api/core.landing.spec.ts
/req/core/root-success,Core,"200 response includes links to API definition, /conformance, /collections.",17-069r4 §7.2,Landing page content and links.,Inherited,CS-1 §7.5; CS-2 §7.4,"endpoint.ts, info.ts",Verify,core.landing.links.spec.ts
/req/collections/*,Collections,"Paging (limit), bbox, datetime; items at /collections/{id}/items.",17-069r4 §7.14–7.16,Collections behavior and query params.,Inherited,CS-1 §7.5; CS-2 §8.3,"link-utils.ts, endpoint.ts",Verify,collections.behavior.spec.ts
/req/items/*,Items,GET single item at /collections/{id}/items/{itemId}.,17-069r4 §7.14–7.16,Single feature resource access.,Inherited,CS-1 classes,existing Feature item fetch,Verify,items.single.spec.ts
part1/overview,Part 1 §7,"All Part 1 are feature types, except Property Definition.",23-001 §7.3/Table 1,Systems/Deployments/Procedures/SamplingFeatures are Features; Property is non-feature.,Specialized,Features Core,csapi/model.ts,Align models,csapi/models.part1.spec.ts
part1/collections-meta,Part 1 §7.5,"Collections governed by Features; indicate itemType, featureType.",23-001 §7.5,Reuse Features rules; add featureType.,Specialized,17-069r4 §7.14–7.16,"info.ts, model.ts",Extend parser,csapi/collections.meta.spec.ts
/req/system/canonical-url,Systems,Canonical URL {api_root}/systems/{id}.,23-001 §9.3,Canonical item URL pattern.,Specialized,Features Items,csapi/url_builder.ts,Implement,systems.canonical-url.spec.ts
/req/system/resources-endpoint,Systems,GET fulfills Features collection clauses.,23-001 §9.4,Systems listing follows Features collection rules.,Specialized,17-069r4 §7.15,csapi/helpers.ts,Implement,systems.endpoint.spec.ts
/req/system/canonical-endpoint,Systems,Expose {api_root}/systems.,23-001 §9.4.2,Top-level Systems collection required.,Specialized,Features Collections,csapi/url_builder.ts,Implement,systems.canonical.spec.ts
/req/system/collections,Systems,Feature collection featureType sosa:System; items behave as endpoint.,23-001 §9.5,Collections grouping & semantics.,Specialized,17-069r4,"info.ts, helpers.ts",Map featureType,systems.collections.spec.ts
/req/deployment/canonical-url,Deployments,Canonical URL {api_root}/deployments/{id}.,23-001 §11,Canonical item URL.,Specialized,Features Items,csapi/url_builder.ts,Implement,deployments.canonical-url.spec.ts
/req/deployment/resources-endpoint,Deployments,GET follows Features clauses.,23-001 §11,Listing/filtering rules.,Specialized,17-069r4,csapi/helpers.ts,Implement,deployments.endpoint.spec.ts
/req/deployment/canonical-endpoint,Deployments,Expose {api_root}/deployments.,23-001 §11,Canonical resources endpoint.,Specialized,Collections,csapi/url_builder.ts,Implement,deployments.canonical.spec.ts
/req/deployment/collections,Deployments,Feature collection featureType Deployment; items act like endpoint.,23-001 §11,Collections semantics.,Specialized,17-069r4,info.ts,Map,deployments.collections.spec.ts
/req/procedure/canonical-url,Procedures,Canonical URL {api_root}/procedures/{id}.,23-001 §13,Canonical URL.,Specialized,Features Items,csapi/url_builder.ts,Implement,procedures.canonical-url.spec.ts
/req/procedure/resources-endpoint,Procedures,GET supports Features collection clauses.,23-001 §13,Listing behavior.,Specialized,17-069r4,csapi/helpers.ts,Implement,procedures.endpoint.spec.ts
/req/procedure/canonical-endpoint,Procedures,Expose {api_root}/procedures.,23-001 §13,Top-level endpoint.,Specialized,Collections,csapi/url_builder.ts,Implement,procedures.canonical.spec.ts
/req/procedure/collections,Procedures,Feature collection featureType Procedure; items act like endpoint.,23-001 §13,Collections semantics.,Specialized,17-069r4,info.ts,Map,procedures.collections.spec.ts
/req/sf/canonical-url,SamplingFeatures,Canonical URL {api_root}/samplingFeatures/{id}.,23-001 §14,Canonical URL.,Specialized,Features Items,csapi/url_builder.ts,Implement,sf.canonical-url.spec.ts
/req/sf/resources-endpoint,SamplingFeatures,GET supports Features collection clauses.,23-001 §14,Listing/filtering.,Specialized,17-069r4,csapi/helpers.ts,Implement,sf.endpoint.spec.ts
/req/sf/canonical-endpoint,SamplingFeatures,Expose {api_root}/samplingFeatures.,23-001 §14,Canonical endpoint.,Specialized,Collections,csapi/url_builder.ts,Implement,sf.canonical.spec.ts
/req/sf/collections,SamplingFeatures,Feature collection featureType SamplingFeature; items behave as endpoint.,23-001 §14,Collections semantics.,Specialized,17-069r4,info.ts,Map,sf.collections.spec.ts
/req/property/canonical-url,Property Definitions,Canonical URL {api_root}/properties/{id}.,23-001 §15,Canonical URL (non-feature).,Specialized,Part 1 §7.3,csapi/url_builder.ts,Implement,properties.canonical-url.spec.ts
/req/property/resources-endpoint,Property Definitions,GET supports listing; non-feature semantics.,23-001 §15,Resource collection (non-feature).,Specialized,17-069r4 adapted,csapi/helpers.ts,Implement,properties.endpoint.spec.ts
/req/property/canonical-endpoint,Property Definitions,Expose {api_root}/properties.,23-001 §15,Canonical endpoint.,Specialized,—,csapi/url_builder.ts,Implement,properties.canonical.spec.ts
/req/api-common/resources,Common (Part 2),Replace ‘features’ with ‘resources’.,23-002 §8.2–8.3,Apply Features semantics to non-features.,Specialized,17-069r4,endpoint.ts adapters,Implement,common.resources.spec.ts
/req/api-common/resource-collection,Common (Part 2),Resource collection fulfills Features §§7.14–7.16.,23-002 §8.3,Collections like Features with itemType.,Specialized,17-069r4,helpers.ts,Implement,common.collections.spec.ts
/req/datastream/canonical-url,Datastreams,Canonical URL {api_root}/datastreams/{id}.,23-002 §9,Canonical resource URL.,New,—,csapi/url_builder.ts,Implement,datastreams.canonical-url.spec.ts
/req/datastream/resources-endpoint,Datastreams,"GET supports limit, datetime; 200; Features errors.",23-002 §9.4,List/filter datastreams.,New,17-069r4 §7.15,csapi/helpers.ts,Implement,datastreams.endpoint.spec.ts
/req/datastream/canonical-endpoint,Datastreams,Expose {api_root}/datastreams.,23-002 §7.4,Canonical resources endpoint.,New,—,csapi/url_builder.ts,Implement,datastreams.canonical.spec.ts
/req/datastream/ref-from-system,Datastreams,Nested /systems/{sysId}/datastreams.,23-002 §9,By System.,New,—,csapi/url_builder.ts,Implement,datastreams.bySystem.spec.ts
/req/datastream/ref-from-deployment,Datastreams,Nested /deployments/{depId}/datastreams.,23-002 §9,By Deployment.,New,—,csapi/url_builder.ts,Implement,datastreams.byDeployment.spec.ts
/req/datastream/collections,Datastreams,Collections itemType=DataStream behave like endpoint.,23-002 §9,Collections semantics.,New,§8.3,info.ts,Map,datastreams.collections.spec.ts
/req/datastream/schema-op,Datastreams,GET {id}/schema?obsFormat=… returns one schema (200).,23-002 §9,Observation schema negotiation.,New,SWE-3,csapi/helpers.ts,Implement,datastreams.schema.spec.ts
/req/observation/canonical-url,Observations,Canonical URL {api_root}/observations/{id}.,23-002 §9,Observation canonical URL.,New,—,csapi/url_builder.ts,Implement,observations.canonical-url.spec.ts
/req/observation/resources-endpoint,Observations,"GET supports limit, datetime; 200.",23-002 §9,List/filter observations.,New,17-069r4,csapi/helpers.ts,Implement,observations.endpoint.spec.ts
/req/observation/canonical-endpoint,Observations,Expose {api_root}/observations.,23-002 §7.4,Canonical Observations endpoint.,New,—,csapi/url_builder.ts,Implement,observations.canonical.spec.ts
/req/observation/ref-from-datastream,Observations,Nested /datastreams/{id}/observations.,23-002 §9,By DataStream.,New,—,csapi/url_builder.ts,Implement,observations.byStream.spec.ts
/req/observation/collections,Observations,Collections itemType=Observation behave like endpoint.,23-002 §9,Obs collections.,New,§8.3,info.ts,Map,observations.collections.spec.ts
/req/controlstream/canonical-url,ControlStreams,Canonical URL {api_root}/controlstreams/{id}.,23-002 §7.4,Canonical URL.,New,—,csapi/url_builder.ts,Implement,controlstreams.canonical-url.spec.ts
/req/controlstream/resources-endpoint,ControlStreams,"GET supports limit, datetime; 200.",23-002 §10–11,List/filter control streams.,New,17-069r4,csapi/helpers.ts,Implement,controlstreams.endpoint.spec.ts
/req/command/canonical-url,Commands,Canonical URL {api_root}/commands/{id}.,23-002 §7.4,Canonical URL.,New,—,csapi/url_builder.ts,Implement,commands.canonical-url.spec.ts
/req/command/resources-endpoint,Commands,"GET supports limit, datetime; 200.",23-002 §10–11,List/filter commands.,New,17-069r4,csapi/helpers.ts,Implement,commands.endpoint.spec.ts
/req/command/status-result,Commands,Status and Result resources for a command.,23-002 §10–11,Separate status/result resources.,New,—,"csapi/model.ts, parsers",Implement,commands.status-result.spec.ts
/req/feasibility/canonical-url,Feasibility,Canonical URL {api_root}/feasibility/{id}.,23-002 §7.4,Canonical URL.,New,—,csapi/url_builder.ts,Implement,feasibility.canonical-url.spec.ts
/req/feasibility/resources-endpoint,Feasibility,"GET supports limit, datetime; 200.",23-002 §11,List/filter feasibility.,New,17-069r4,csapi/helpers.ts,Implement,feasibility.endpoint.spec.ts
/req/feasibility/status-result,Feasibility,Status and Result resources for feasibility.,23-002 §11,Separate lifecycle resources.,New,—,"csapi/model.ts, parsers",Implement,feasibility.status-result.spec.ts
/req/system-event/canonical-url,System Events,Canonical URL {api_root}/systemEvents/{id}.,23-002 §7.4/Req40,Canonical URL & rel=canonical.,New,—,csapi/url_builder.ts,Implement,events.canonical-url.spec.ts
/req/system-event/resources-endpoint,System Events,"GET supports limit, datetime; 200.",23-002 §7.4/Req41,List/filter events.,New,17-069r4,csapi/helpers.ts,Implement,events.endpoint.spec.ts
/req/system-event/canonical-endpoint,System Events,Expose {api_root}/systemEvents.,23-002 §7.4/Req42,Canonical resources endpoint.,New,—,csapi/url_builder.ts,Implement,events.canonical.spec.ts
/req/system-event/ref-from-system,System Events,Nested /systems/{sysId}/events.,23-002 §7.4/Req43,Events by System.,New,—,csapi/url_builder.ts,Implement,events.bySystem.spec.ts
/req/system-event/collections,System Events,Collections itemType=SystemEvent behave like endpoint.,23-002 §7.4/Req44,Collections semantics.,New,§8.3,info.ts,Map,events.collections.spec.ts
part1/encodings,Encodings Part 1,"Clause 19; GeoJSON, SML-JSON profiles.",23-001 §19,Feature encodings and schemas.,Specialized,—,"encoding.ts, model.ts",Map profiles,encodings.part1.spec.ts
part2/encodings,Encodings Part 2,"JSON, SWE-JSON, SWE-Text, SWE-Binary.",23-002 Table 1,Dynamic data encodings.,New,SWE-3,"encoding.ts, parsers",Implement,encodings.part2.spec.ts
part2/canonical-endpoints,Canonical endpoints list,/datastreams /observations /controlstreams /commands /feasibility /systemEvents.,23-002 §7.4,Well-known top-level routes.,New,—,url_builder.ts,Implement,endpoints.part2.canonical.spec.ts
